arraySize,Performance in Mops/s,Time,Size,Threads,Blocks,Total Threads
10,1.6192,0.0062,10,10,1,10
200,29.3427,0.0068,200,200,1,200
500,80.1282,0.0062,500,500,1,500
750,120.8119,0.0062,750,750,1,750
1000,150.2404,0.0067,1000,1000,1,1000
1250,159.4388,0.0078,1250,1024,2,2048
1500,205.5921,0.0073,1500,1024,2,2048
2000,245.0980,0.0082,2000,1024,2,2048
5000,645.6612,0.0077,5000,1024,5,5120
10000,1509.6618,0.0066,10000,1024,10,10240
25000,2959.2804,0.0084,25000,1024,25,25600
64000,6024.0966,0.0106,64000,1024,63,64512
